Asset Code,Asset Name,External Format,Status,Release ID,Type,Parent,Output File Name,Notes
"SB-02-Axx","SB-02 Appendix Assets Pack Rollup","Pack Rollup (Appendix Assets)","ACTIVE","v2026-02-17r3","Pack Parent","SB-02","OnPoint_SB-02_Appendix_Assets_Pack_Rollup_v2026-02-17r3.zip","PARENT PACK: contains SB-02-A01…A05."
"SB-02-Wxx","SB-02 Web Copy Pack Rollup","Pack Rollup (Web Copy)","ACTIVE","v2026-02-17r3","Pack Parent","SB-02","OnPoint_SB-02_Web_Copy_Pack_Rollup_v2026-02-17r3.zip","PARENT PACK: contains SB-02-W01…W03."
"SB-02-Txx","SB-02 Templates Pack Rollup","Pack Rollup (Templates)","ACTIVE","v2026-02-17r3","Pack Parent","SB-02","OnPoint_SB-02_Templates_Pack_Rollup_v2026-02-17r3.zip","PARENT PACK: contains SB-02-T01…T06."
"SB-02-W01","Chapter Landing Page Copy","MD","ACTIVE","v2026-02-17r3","Web Child","SB-02-Wxx","OnPoint_SB-02_W01_Landing_Copy_v2026-02-17r3.md","Website canonical copy"
"SB-02-W02","Section Blocks & Component Copy","MD","ACTIVE","v2026-02-17r3","Web Child","SB-02-Wxx","OnPoint_SB-02_W02_Blocks_Components_v2026-02-17r3.md","Modular page sections"
"SB-02-W03","Downloads Hub Copy","MD","ACTIVE","v2026-02-17r3","Web Child","SB-02-Wxx","OnPoint_SB-02_W03_Downloads_Hub_v2026-02-17r3.md","Download descriptions for A/T assets"
"SB-02-A01","System Diagram","PDF","ACTIVE","v2026-02-17r3","Appendix Child","SB-02-Axx","OnPoint_SB-02_A01_System_Diagram_v2026-02-17r3.pdf","Include in Appendix Pack index"
"SB-02-A02","SOP Template","DOCX","ACTIVE","v2026-02-17r3","Appendix Child","SB-02-Axx","OnPoint_SB-02_A02_SOP_Template_v2026-02-17r3.docx","Version-locked template"
"SB-02-A03","Scorecard","XLSX","ACTIVE","v2026-02-17r3","Appendix Child","SB-02-Axx","OnPoint_SB-02_A03_Scorecard_v2026-02-17r3.xlsx","KPI/scorecard worksheet"
"SB-02-A04","Example Pack","PDF","ACTIVE","v2026-02-17r3","Appendix Child","SB-02-Axx","OnPoint_SB-02_A04_Examples_v2026-02-17r3.pdf","Filled examples/screens"
"SB-02-A05","Standards & Definitions","DOCX","ACTIVE","v2026-02-17r3","Appendix Child","SB-02-Axx","OnPoint_SB-02_A05_Standards_Definitions_v2026-02-17r3.docx","Glossary + rules"
"SB-02-T01","Checklist","PDF","ACTIVE","v2026-02-17r3","Template Child","SB-02-Txx","OnPoint_SB-02_T01_Checklist_v2026-02-17r3.pdf","Printable checklist"
"SB-02-T02","SOP Template","DOCX","ACTIVE","v2026-02-17r3","Template Child","SB-02-Txx","OnPoint_SB-02_T02_SOP_Template_v2026-02-17r3.docx","Execution SOP"
"SB-02-T03","Tracker","XLSX","ACTIVE","v2026-02-17r3","Template Child","SB-02-Txx","OnPoint_SB-02_T03_Tracker_v2026-02-17r3.xlsx","Operating tracker"
"SB-02-T04","Scripts Pack","DOCX","ACTIVE","v2026-02-17r3","Template Child","SB-02-Txx","OnPoint_SB-02_T04_Scripts_Pack_v2026-02-17r3.docx","Stakeholder comms scripts"
"SB-02-T05","Notion Template","MD","ACTIVE","v2026-02-17r3","Template Child","SB-02-Txx","OnPoint_SB-02_T05_Notion_Template_v2026-02-17r3.md","Database/page template"
"SB-02-T06","Prompt Pack","DOCX","ACTIVE","v2026-02-17r3","Template Child","SB-02-Txx","OnPoint_SB-02_T06_Prompt_Pack_v2026-02-17r3.docx","AI prompts"
"SB-03-Axx","SB-03 Appendix Assets Pack Rollup","Pack Rollup (Appendix Assets)","ACTIVE","v2026-02-17r3","Pack Parent","SB-03","OnPoint_SB-03_Appendix_Assets_Pack_Rollup_v2026-02-17r3.zip","PARENT PACK: contains SB-03-A01…A05."
"SB-03-Wxx","SB-03 Web Copy Pack Rollup","Pack Rollup (Web Copy)","ACTIVE","v2026-02-17r3","Pack Parent","SB-03","OnPoint_SB-03_Web_Copy_Pack_Rollup_v2026-02-17r3.zip","PARENT PACK: contains SB-03-W01…W03."
"SB-03-Txx","SB-03 Templates Pack Rollup","Pack Rollup (Templates)","ACTIVE","v2026-02-17r3","Pack Parent","SB-03","OnPoint_SB-03_Templates_Pack_Rollup_v2026-02-17r3.zip","PARENT PACK: contains SB-03-T01…T06."
"SB-03-W01","Chapter Landing Page Copy","MD","ACTIVE","v2026-02-17r3","Web Child","SB-03-Wxx","OnPoint_SB-03_W01_Landing_Copy_v2026-02-17r3.md","Website canonical copy"
"SB-03-W02","Section Blocks & Component Copy","MD","ACTIVE","v2026-02-17r3","Web Child","SB-03-Wxx","OnPoint_SB-03_W02_Blocks_Components_v2026-02-17r3.md","Modular page sections"
"SB-03-W03","Downloads Hub Copy","MD","ACTIVE","v2026-02-17r3","Web Child","SB-03-Wxx","OnPoint_SB-03_W03_Downloads_Hub_v2026-02-17r3.md","Download descriptions for A/T assets"
"SB-03-A01","System Diagram","PDF","ACTIVE","v2026-02-17r3","Appendix Child","SB-03-Axx","OnPoint_SB-03_A01_System_Diagram_v2026-02-17r3.pdf","Include in Appendix Pack index"
"SB-03-A02","SOP Template","DOCX","ACTIVE","v2026-02-17r3","Appendix Child","SB-03-Axx","OnPoint_SB-03_A02_SOP_Template_v2026-02-17r3.docx","Version-locked template"
"SB-03-A03","Scorecard","XLSX","ACTIVE","v2026-02-17r3","Appendix Child","SB-03-Axx","OnPoint_SB-03_A03_Scorecard_v2026-02-17r3.xlsx","KPI/scorecard worksheet"
"SB-03-A04","Example Pack","PDF","ACTIVE","v2026-02-17r3","Appendix Child","SB-03-Axx","OnPoint_SB-03_A04_Examples_v2026-02-17r3.pdf","Filled examples/screens"
"SB-03-A05","Standards & Definitions","DOCX","ACTIVE","v2026-02-17r3","Appendix Child","SB-03-Axx","OnPoint_SB-03_A05_Standards_Definitions_v2026-02-17r3.docx","Glossary + rules"
"SB-03-T01","Checklist","PDF","ACTIVE","v2026-02-17r3","Template Child","SB-03-Txx","OnPoint_SB-03_T01_Checklist_v2026-02-17r3.pdf","Printable checklist"
"SB-03-T02","SOP Template","DOCX","ACTIVE","v2026-02-17r3","Template Child","SB-03-Txx","OnPoint_SB-03_T02_SOP_Template_v2026-02-17r3.docx","Execution SOP"
"SB-03-T03","Tracker","XLSX","ACTIVE","v2026-02-17r3","Template Child","SB-03-Txx","OnPoint_SB-03_T03_Tracker_v2026-02-17r3.xlsx","Operating tracker"
"SB-03-T04","Scripts Pack","DOCX","ACTIVE","v2026-02-17r3","Template Child","SB-03-Txx","OnPoint_SB-03_T04_Scripts_Pack_v2026-02-17r3.docx","Stakeholder comms scripts"
"SB-03-T05","Notion Template","MD","ACTIVE","v2026-02-17r3","Template Child","SB-03-Txx","OnPoint_SB-03_T05_Notion_Template_v2026-02-17r3.md","Database/page template"
"SB-03-T06","Prompt Pack","DOCX","ACTIVE","v2026-02-17r3","Template Child","SB-03-Txx","OnPoint_SB-03_T06_Prompt_Pack_v2026-02-17r3.docx","AI prompts"
"SB-04-Axx","SB-04 Appendix Assets Pack Rollup","Pack Rollup (Appendix Assets)","ACTIVE","v2026-02-17r3","Pack Parent","SB-04","OnPoint_SB-04_Appendix_Assets_Pack_Rollup_v2026-02-17r3.zip","PARENT PACK: contains SB-04-A01…A05."
"SB-04-Wxx","SB-04 Web Copy Pack Rollup","Pack Rollup (Web Copy)","ACTIVE","v2026-02-17r3","Pack Parent","SB-04","OnPoint_SB-04_Web_Copy_Pack_Rollup_v2026-02-17r3.zip","PARENT PACK: contains SB-04-W01…W03."
"SB-04-Txx","SB-04 Templates Pack Rollup","Pack Rollup (Templates)","ACTIVE","v2026-02-17r3","Pack Parent","SB-04","OnPoint_SB-04_Templates_Pack_Rollup_v2026-02-17r3.zip","PARENT PACK: contains SB-04-T01…T06."
"SB-04-W01","Chapter Landing Page Copy","MD","ACTIVE","v2026-02-17r3","Web Child","SB-04-Wxx","OnPoint_SB-04_W01_Landing_Copy_v2026-02-17r3.md","Website canonical copy"
"SB-04-W02","Section Blocks & Component Copy","MD","ACTIVE","v2026-02-17r3","Web Child","SB-04-Wxx","OnPoint_SB-04_W02_Blocks_Components_v2026-02-17r3.md","Modular page sections"
"SB-04-W03","Downloads Hub Copy","MD","ACTIVE","v2026-02-17r3","Web Child","SB-04-Wxx","OnPoint_SB-04_W03_Downloads_Hub_v2026-02-17r3.md","Download descriptions for A/T assets"
"SB-04-A01","System Diagram","PDF","ACTIVE","v2026-02-17r3","Appendix Child","SB-04-Axx","OnPoint_SB-04_A01_System_Diagram_v2026-02-17r3.pdf","Include in Appendix Pack index"
"SB-04-A02","SOP Template","DOCX","ACTIVE","v2026-02-17r3","Appendix Child","SB-04-Axx","OnPoint_SB-04_A02_SOP_Template_v2026-02-17r3.docx","Version-locked template"
"SB-04-A03","Scorecard","XLSX","ACTIVE","v2026-02-17r3","Appendix Child","SB-04-Axx","OnPoint_SB-04_A03_Scorecard_v2026-02-17r3.xlsx","KPI/scorecard worksheet"
"SB-04-A04","Example Pack","PDF","ACTIVE","v2026-02-17r3","Appendix Child","SB-04-Axx","OnPoint_SB-04_A04_Examples_v2026-02-17r3.pdf","Filled examples/screens"
"SB-04-A05","Standards & Definitions","DOCX","ACTIVE","v2026-02-17r3","Appendix Child","SB-04-Axx","OnPoint_SB-04_A05_Standards_Definitions_v2026-02-17r3.docx","Glossary + rules"
"SB-04-T01","Checklist","PDF","ACTIVE","v2026-02-17r3","Template Child","SB-04-Txx","OnPoint_SB-04_T01_Checklist_v2026-02-17r3.pdf","Printable checklist"
"SB-04-T02","SOP Template","DOCX","ACTIVE","v2026-02-17r3","Template Child","SB-04-Txx","OnPoint_SB-04_T02_SOP_Template_v2026-02-17r3.docx","Execution SOP"
"SB-04-T03","Tracker","XLSX","ACTIVE","v2026-02-17r3","Template Child","SB-04-Txx","OnPoint_SB-04_T03_Tracker_v2026-02-17r3.xlsx","Operating tracker"
"SB-04-T04","Scripts Pack","DOCX","ACTIVE","v2026-02-17r3","Template Child","SB-04-Txx","OnPoint_SB-04_T04_Scripts_Pack_v2026-02-17r3.docx","Stakeholder comms scripts"
"SB-04-T05","Notion Template","MD","ACTIVE","v2026-02-17r3","Template Child","SB-04-Txx","OnPoint_SB-04_T05_Notion_Template_v2026-02-17r3.md","Database/page template"
"SB-04-T06","Prompt Pack","DOCX","ACTIVE","v2026-02-17r3","Template Child","SB-04-Txx","OnPoint_SB-04_T06_Prompt_Pack_v2026-02-17r3.docx","AI prompts"
"SB-05-Axx","SB-05 Appendix Assets Pack Rollup","Pack Rollup (Appendix Assets)","ACTIVE","v2026-02-17r3","Pack Parent","SB-05","OnPoint_SB-05_Appendix_Assets_Pack_Rollup_v2026-02-17r3.zip","PARENT PACK: contains SB-05-A01…A05."
"SB-05-Wxx","SB-05 Web Copy Pack Rollup","Pack Rollup (Web Copy)","ACTIVE","v2026-02-17r3","Pack Parent","SB-05","OnPoint_SB-05_Web_Copy_Pack_Rollup_v2026-02-17r3.zip","PARENT PACK: contains SB-05-W01…W03."
"SB-05-Txx","SB-05 Templates Pack Rollup","Pack Rollup (Templates)","ACTIVE","v2026-02-17r3","Pack Parent","SB-05","OnPoint_SB-05_Templates_Pack_Rollup_v2026-02-17r3.zip","PARENT PACK: contains SB-05-T01…T06."
"SB-05-W01","Chapter Landing Page Copy","MD","ACTIVE","v2026-02-17r3","Web Child","SB-05-Wxx","OnPoint_SB-05_W01_Landing_Copy_v2026-02-17r3.md","Website canonical copy"
"SB-05-W02","Section Blocks & Component Copy","MD","ACTIVE","v2026-02-17r3","Web Child","SB-05-Wxx","OnPoint_SB-05_W02_Blocks_Components_v2026-02-17r3.md","Modular page sections"
"SB-05-W03","Downloads Hub Copy","MD","ACTIVE","v2026-02-17r3","Web Child","SB-05-Wxx","OnPoint_SB-05_W03_Downloads_Hub_v2026-02-17r3.md","Download descriptions for A/T assets"
"SB-05-A01","System Diagram","PDF","ACTIVE","v2026-02-17r3","Appendix Child","SB-05-Axx","OnPoint_SB-05_A01_System_Diagram_v2026-02-17r3.pdf","Include in Appendix Pack index"
"SB-05-A02","SOP Template","DOCX","ACTIVE","v2026-02-17r3","Appendix Child","SB-05-Axx","OnPoint_SB-05_A02_SOP_Template_v2026-02-17r3.docx","Version-locked template"
"SB-05-A03","Scorecard","XLSX","ACTIVE","v2026-02-17r3","Appendix Child","SB-05-Axx","OnPoint_SB-05_A03_Scorecard_v2026-02-17r3.xlsx","KPI/scorecard worksheet"
"SB-05-A04","Example Pack","PDF","ACTIVE","v2026-02-17r3","Appendix Child","SB-05-Axx","OnPoint_SB-05_A04_Examples_v2026-02-17r3.pdf","Filled examples/screens"
"SB-05-A05","Standards & Definitions","DOCX","ACTIVE","v2026-02-17r3","Appendix Child","SB-05-Axx","OnPoint_SB-05_A05_Standards_Definitions_v2026-02-17r3.docx","Glossary + rules"
"SB-05-T01","Checklist","PDF","ACTIVE","v2026-02-17r3","Template Child","SB-05-Txx","OnPoint_SB-05_T01_Checklist_v2026-02-17r3.pdf","Printable checklist"
"SB-05-T02","SOP Template","DOCX","ACTIVE","v2026-02-17r3","Template Child","SB-05-Txx","OnPoint_SB-05_T02_SOP_Template_v2026-02-17r3.docx","Execution SOP"
"SB-05-T03","Tracker","XLSX","ACTIVE","v2026-02-17r3","Template Child","SB-05-Txx","OnPoint_SB-05_T03_Tracker_v2026-02-17r3.xlsx","Operating tracker"
"SB-05-T04","Scripts Pack","DOCX","ACTIVE","v2026-02-17r3","Template Child","SB-05-Txx","OnPoint_SB-05_T04_Scripts_Pack_v2026-02-17r3.docx","Stakeholder comms scripts"
"SB-05-T05","Notion Template","MD","ACTIVE","v2026-02-17r3","Template Child","SB-05-Txx","OnPoint_SB-05_T05_Notion_Template_v2026-02-17r3.md","Database/page template"
"SB-05-T06","Prompt Pack","DOCX","ACTIVE","v2026-02-17r3","Template Child","SB-05-Txx","OnPoint_SB-05_T06_Prompt_Pack_v2026-02-17r3.docx","AI prompts"
"SB-06-Axx","SB-06 Appendix Assets Pack Rollup","Pack Rollup (Appendix Assets)","ACTIVE","v2026-02-17r3","Pack Parent","SB-06","OnPoint_SB-06_Appendix_Assets_Pack_Rollup_v2026-02-17r3.zip","PARENT PACK: contains SB-06-A01…A05."
"SB-06-Wxx","SB-06 Web Copy Pack Rollup","Pack Rollup (Web Copy)","ACTIVE","v2026-02-17r3","Pack Parent","SB-06","OnPoint_SB-06_Web_Copy_Pack_Rollup_v2026-02-17r3.zip","PARENT PACK: contains SB-06-W01…W03."
"SB-06-Txx","SB-06 Templates Pack Rollup","Pack Rollup (Templates)","ACTIVE","v2026-02-17r3","Pack Parent","SB-06","OnPoint_SB-06_Templates_Pack_Rollup_v2026-02-17r3.zip","PARENT PACK: contains SB-06-T01…T06."
"SB-06-W01","Chapter Landing Page Copy","MD","ACTIVE","v2026-02-17r3","Web Child","SB-06-Wxx","OnPoint_SB-06_W01_Landing_Copy_v2026-02-17r3.md","Website canonical copy"
"SB-06-W02","Section Blocks & Component Copy","MD","ACTIVE","v2026-02-17r3","Web Child","SB-06-Wxx","OnPoint_SB-06_W02_Blocks_Components_v2026-02-17r3.md","Modular page sections"
"SB-06-W03","Downloads Hub Copy","MD","ACTIVE","v2026-02-17r3","Web Child","SB-06-Wxx","OnPoint_SB-06_W03_Downloads_Hub_v2026-02-17r3.md","Download descriptions for A/T assets"
"SB-06-A01","System Diagram","PDF","ACTIVE","v2026-02-17r3","Appendix Child","SB-06-Axx","OnPoint_SB-06_A01_System_Diagram_v2026-02-17r3.pdf","Include in Appendix Pack index"
"SB-06-A02","SOP Template","DOCX","ACTIVE","v2026-02-17r3","Appendix Child","SB-06-Axx","OnPoint_SB-06_A02_SOP_Template_v2026-02-17r3.docx","Version-locked template"
"SB-06-A03","Scorecard","XLSX","ACTIVE","v2026-02-17r3","Appendix Child","SB-06-Axx","OnPoint_SB-06_A03_Scorecard_v2026-02-17r3.xlsx","KPI/scorecard worksheet"
"SB-06-A04","Example Pack","PDF","ACTIVE","v2026-02-17r3","Appendix Child","SB-06-Axx","OnPoint_SB-06_A04_Examples_v2026-02-17r3.pdf","Filled examples/screens"
"SB-06-A05","Standards & Definitions","DOCX","ACTIVE","v2026-02-17r3","Appendix Child","SB-06-Axx","OnPoint_SB-06_A05_Standards_Definitions_v2026-02-17r3.docx","Glossary + rules"
"SB-06-T01","Checklist","PDF","ACTIVE","v2026-02-17r3","Template Child","SB-06-Txx","OnPoint_SB-06_T01_Checklist_v2026-02-17r3.pdf","Printable checklist"
"SB-06-T02","SOP Template","DOCX","ACTIVE","v2026-02-17r3","Template Child","SB-06-Txx","OnPoint_SB-06_T02_SOP_Template_v2026-02-17r3.docx","Execution SOP"
"SB-06-T03","Tracker","XLSX","ACTIVE","v2026-02-17r3","Template Child","SB-06-Txx","OnPoint_SB-06_T03_Tracker_v2026-02-17r3.xlsx","Operating tracker"
"SB-06-T04","Scripts Pack","DOCX","ACTIVE","v2026-02-17r3","Template Child","SB-06-Txx","OnPoint_SB-06_T04_Scripts_Pack_v2026-02-17r3.docx","Stakeholder comms scripts"
"SB-06-T05","Notion Template","MD","ACTIVE","v2026-02-17r3","Template Child","SB-06-Txx","OnPoint_SB-06_T05_Notion_Template_v2026-02-17r3.md","Database/page template"
"SB-06-T06","Prompt Pack","DOCX","ACTIVE","v2026-02-17r3","Template Child","SB-06-Txx","OnPoint_SB-06_T06_Prompt_Pack_v2026-02-17r3.docx","AI prompts"
"SB-07-Axx","SB-07 Appendix Assets Pack Rollup","Pack Rollup (Appendix Assets)","ACTIVE","v2026-02-17r3","Pack Parent","SB-07","OnPoint_SB-07_Appendix_Assets_Pack_Rollup_v2026-02-17r3.zip","PARENT PACK: contains SB-07-A01…A05."
"SB-07-Wxx","SB-07 Web Copy Pack Rollup","Pack Rollup (Web Copy)","ACTIVE","v2026-02-17r3","Pack Parent","SB-07","OnPoint_SB-07_Web_Copy_Pack_Rollup_v2026-02-17r3.zip","PARENT PACK: contains SB-07-W01…W03."
"SB-07-Txx","SB-07 Templates Pack Rollup","Pack Rollup (Templates)","ACTIVE","v2026-02-17r3","Pack Parent","SB-07","OnPoint_SB-07_Templates_Pack_Rollup_v2026-02-17r3.zip","PARENT PACK: contains SB-07-T01…T06."
"SB-07-W01","Chapter Landing Page Copy","DOCX","ACTIVE","v2026-02-17r3","Web Child","SB-07-Wxx","OnPoint_SB-07_W01_Landing_Page_Copy_v2026-02-17r3.docx","SB-07 main page hero/intro, outcomes, navigation, CTA"
"SB-07-W02","Section Blocks & Component Copy","DOCX","ACTIVE","v2026-02-17r3","Web Child","SB-07-Wxx","OnPoint_SB-07_W02_Section_Blocks_Component_Copy_v2026-02-17r3.docx","Reusable section blocks (problem/solution, steps, proof, FAQ, CTAs)"
"SB-07-W03","Downloads Hub Copy","DOCX","ACTIVE","v2026-02-17r3","Web Child","SB-07-Wxx","OnPoint_SB-07_W03_Downloads_Hub_Copy_v2026-02-17r3.docx","Downloads index text, access notes, disclaimers, what's included"
"SB-07-A01","System Diagram","PDF","ACTIVE","v2026-02-17r3","Appendix Child","SB-07-Axx","OnPoint_SB-07_A01_System_Diagram_v2026-02-17r3.pdf","Include in Appendix Pack index"
"SB-07-A02","SOP Template","DOCX","ACTIVE","v2026-02-17r3","Appendix Child","SB-07-Axx","OnPoint_SB-07_A02_SOP_Template_v2026-02-17r3.docx","Version-locked template"
"SB-07-A03","Scorecard","XLSX","ACTIVE","v2026-02-17r3","Appendix Child","SB-07-Axx","OnPoint_SB-07_A03_Scorecard_v2026-02-17r3.xlsx","KPI/scorecard worksheet"
"SB-07-A04","Example Pack","PDF","ACTIVE","v2026-02-17r3","Appendix Child","SB-07-Axx","OnPoint_SB-07_A04_Examples_v2026-02-17r3.pdf","Filled examples/screens"
"SB-07-A05","Standards & Definitions","DOCX","ACTIVE","v2026-02-17r3","Appendix Child","SB-07-Axx","OnPoint_SB-07_A05_Standards_Definitions_v2026-02-17r3.docx","Glossary + rules"
"SB-07-T01","Checklist","PDF","ACTIVE","v2026-02-17r3","Template Child","SB-07-Txx","OnPoint_SB-07_T01_Checklist_v2026-02-17r3.pdf","Printable checklist"
"SB-07-T02","SOP Template","DOCX","ACTIVE","v2026-02-17r3","Template Child","SB-07-Txx","OnPoint_SB-07_T02_SOP_Template_v2026-02-17r3.docx","Execution SOP"
