Type,Level,SB_Code,SB_Title,Website_Section,Website_Page_ID,Website_Suggested_Title,Website_Suggested_Slug,Notion_DB,Notion_Path,Canonical_Source,Sync_Rule,Owner_Role,Version_Lock,Status
BookSection,1,SB-02,"Data Room, File System, and Access Control",Data Room,WP-02,"Data Room, File System, and Access Control",/investor/deal-room/sb-02-data-room-file-system-and-access-control,Deal Room,OPS / Deal Room / SB-02,Book,1-way (Book→Notion),CEO Ops / Content,v2026-02-17r2,Active
BookSection,2,SB-02-01,Folder Taxonomy (Canonical),Data Room,WP-02-01,Folder Taxonomy (Canonical),/investor/deal-room/sb-02-01-folder-taxonomy-canonical,Deal Room,OPS / Deal Room / SB-02-01,Book,1-way (Book→Notion),CEO Ops / Content,v2026-02-17r2,Active
BookSection,2,SB-02-02,Access Control Standard,Data Room,WP-02-02,Access Control Standard,/investor/deal-room/sb-02-02-access-control-standard,Deal Room,OPS / Deal Room / SB-02-02,Book,1-way (Book→Notion),CEO Ops / Content,v2026-02-17r2,Active
BookSection,1,SB-03,CIM Program: Teaser → NDA → CIM → Buyer Deck → Appendix Pack,CIM Program,WP-03,CIM Program: Teaser → NDA → CIM → Buyer Deck → Appendix Pack,/investor/cim/sb-03-cim-program-teaser-nda-cim-buyer-deck-appendix-pack,CIM Program,OPS / CIM Program / SB-03,Book,1-way (Book→Notion),CEO Ops / Content,v2026-02-17r2,Active
BookSection,2,SB-03-01,Canonical Deliverable Chain,CIM Program,WP-03-01,Canonical Deliverable Chain,/investor/cim/sb-03-01-canonical-deliverable-chain,CIM Program,OPS / CIM Program / SB-03-01,Book,1-way (Book→Notion),CEO Ops / Content,v2026-02-17r2,Active
BookSection,2,SB-03-02,Lock Rules,CIM Program,WP-03-02,Lock Rules,/investor/cim/sb-03-02-lock-rules,CIM Program,OPS / CIM Program / SB-03-02,Book,1-way (Book→Notion),CEO Ops / Content,v2026-02-17r2,Active
BookSection,2,SB-03-03,Master vs. External Formats,CIM Program,WP-03-03,Master vs. External Formats,/investor/cim/sb-03-03-master-vs-external-formats,CIM Program,OPS / CIM Program / SB-03-03,Book,1-way (Book→Notion),CEO Ops / Content,v2026-02-17r2,Active
BookSection,1,SB-04,Investor Readiness + Website Architecture Spec (Deal Room Digital Layer),Website Architecture,WP-04,Investor Readiness + Website Architecture Spec (Deal Room Digital Layer),/website-architecture/sb-04-investor-readiness-website-architecture-spec-deal-room-digital-layer,Website Architecture,OPS / Website Architecture / SB-04,Book,2-way (Website↔Book),CEO Ops / Content,v2026-02-17r2,Active
BookSection,2,SB-04-01,Investor Readiness: Core Proof Pack,Website Architecture,WP-04-01,Investor Readiness: Core Proof Pack,/website-architecture/sb-04-01-investor-readiness-core-proof-pack,Website Architecture,OPS / Website Architecture / SB-04-01,Book,2-way (Website↔Book),CEO Ops / Content,v2026-02-17r2,Active
BookSection,2,SB-04-02,Website Architecture Spec (Canonical),Website Architecture,WP-04-02,Website Architecture Spec (Canonical),/website-architecture/sb-04-02-website-architecture-spec-canonical,Website Architecture,OPS / Website Architecture / SB-04-02,Book,2-way (Website↔Book),CEO Ops / Content,v2026-02-17r2,Active
BookSection,3,SB-04-02-01,Information Architecture & Sitemap,Website Architecture,WP-04-02-01,Information Architecture & Sitemap,/website-architecture/sb-04-02-01-information-architecture-sitemap,Website Architecture,OPS / Website Architecture / SB-04-02-01,Book,2-way (Website↔Book),CEO Ops / Content,v2026-02-17r2,Active
BookSection,3,SB-04-02-02,Page Templates & Component Rules,Website Architecture,WP-04-02-02,Page Templates & Component Rules,/website-architecture/sb-04-02-02-page-templates-component-rules,Website Architecture,OPS / Website Architecture / SB-04-02-02,Book,2-way (Website↔Book),CEO Ops / Content,v2026-02-17r2,Active
BookSection,3,SB-04-02-03,"Content Types, Metadata & CMS Fields",Website Architecture,WP-04-02-03,"Content Types, Metadata & CMS Fields",/website-architecture/sb-04-02-03-content-types-metadata-cms-fields,Website Architecture,OPS / Website Architecture / SB-04-02-03,Book,2-way (Website↔Book),CEO Ops / Content,v2026-02-17r2,Active
BookSection,3,SB-04-02-04,Navigation Rules & UX Standards,Website Architecture,WP-04-02-04,Navigation Rules & UX Standards,/website-architecture/sb-04-02-04-navigation-rules-ux-standards,Website Architecture,OPS / Website Architecture / SB-04-02-04,Book,2-way (Website↔Book),CEO Ops / Content,v2026-02-17r2,Active
BookSection,3,SB-04-02-05,"SEO, Analytics & Tracking Plan",Website Architecture,WP-04-02-05,"SEO, Analytics & Tracking Plan",/website-architecture/sb-04-02-05-seo-analytics-tracking-plan,Website Architecture,OPS / Website Architecture / SB-04-02-05,Book,2-way (Website↔Book),CEO Ops / Content,v2026-02-17r2,Active
BookSection,3,SB-04-02-06,Publishing Workflow & Governance,Website Architecture,WP-04-02-06,Publishing Workflow & Governance,/website-architecture/sb-04-02-06-publishing-workflow-governance,Website Architecture,OPS / Website Architecture / SB-04-02-06,Book,2-way (Website↔Book),CEO Ops / Content,v2026-02-17r2,Active
BookSection,3,SB-04-02-07,"Version Tagging, Release Notes & Locking",Website Architecture,WP-04-02-07,"Version Tagging, Release Notes & Locking",/website-architecture/sb-04-02-07-version-tagging-release-notes-locking,Website Architecture,OPS / Website Architecture / SB-04-02-07,Book,2-way (Website↔Book),CEO Ops / Content,v2026-02-17r2,Active
BookSection,3,SB-04-02-08,"QA, Accessibility, Security, Performance",Website Architecture,WP-04-02-08,"QA, Accessibility, Security, Performance",/website-architecture/sb-04-02-08-qa-accessibility-security-performance,Website Architecture,OPS / Website Architecture / SB-04-02-08,Book,2-way (Website↔Book),CEO Ops / Content,v2026-02-17r2,Active
BookSection,2,SB-04-03,Website ↔ CIM Mapping Table (Starter),Website Architecture,WP-04-03,Website ↔ CIM Mapping Table (Starter),/website-architecture/sb-04-03-website-cim-mapping-table-starter,Website Architecture,OPS / Website Architecture / SB-04-03,Website+Book,2-way (Website↔Book),CEO Ops / Content,v2026-02-17r2,Active
BookSection,1,SB-05,Buyer Pipeline & Communications (Scaffold),Buyer Pipeline,WP-05,Buyer Pipeline & Communications (Scaffold),/investor/pipeline/sb-05-buyer-pipeline-communications-scaffold,Buyer Pipeline,OPS / Buyer Pipeline / SB-05,Book,1-way (Book→Notion),CEO Ops / Content,v2026-02-17r2,Scaffold
BookSection,2,SB-05-01,Pipeline Stages,Buyer Pipeline,WP-05-01,Pipeline Stages,/investor/pipeline/sb-05-01-pipeline-stages,Buyer Pipeline,OPS / Buyer Pipeline / SB-05-01,Book,1-way (Book→Notion),CEO Ops / Content,v2026-02-17r2,Active
BookSection,2,SB-05-02,Standard Comms Library,Buyer Pipeline,WP-05-02,Standard Comms Library,/investor/pipeline/sb-05-02-standard-comms-library,Buyer Pipeline,OPS / Buyer Pipeline / SB-05-02,Book,1-way (Book→Notion),CEO Ops / Content,v2026-02-17r2,Active
BookSection,1,SB-06,KPI / Metrics / Reporting (Scaffold),KPI & Reporting,WP-06,KPI / Metrics / Reporting (Scaffold),/governance/metrics/sb-06-kpi-metrics-reporting-scaffold,Systems Book,OPS / Systems Book / SB-06,Book,1-way (Book→Notion),CEO Ops / Content,v2026-02-17r2,Scaffold
BookSection,1,SB-13,"Continuous Improvement, Versioning, and Change Control (Scaffold)",Change Control,WP-13,"Continuous Improvement, Versioning, and Change Control (Scaffold)",/governance/change-control/sb-13-continuous-improvement-versioning-and-change-control-scaffold,Systems Book,OPS / Systems Book / SB-13,Book,1-way (Book→Notion),CEO Ops / Content,v2026-02-17r2,Scaffold
BookSection,2,SB-13-01,Change Control,Change Control,WP-13-01,Change Control,/governance/change-control/sb-13-01-change-control,Systems Book,OPS / Systems Book / SB-13-01,Book,1-way (Book→Notion),CEO Ops / Content,v2026-02-17r2,Active
BookSection,2,SB-13-02,Retirements,Change Control,WP-13-02,Retirements,/governance/change-control/sb-13-02-retirements,Systems Book,OPS / Systems Book / SB-13-02,Book,1-way (Book→Notion),CEO Ops / Content,v2026-02-17r2,Active
BookSection,2,Appendix_A,Quick Copy Blocks,Copy Blocks,APPX-A,Quick Copy Blocks,/resources/copy-blocks/appendix-a-quick-copy-blocks,Copy Blocks,OPS / Copy Blocks / Appendix_A,Book,1-way (Book→Website),CEO Ops / Content,v2026-02-17r2,Active
BookSection,3,A-01,System Code Tag (copy/paste),Copy Blocks,A-01,System Code Tag (copy/paste),/resources/copy-blocks/a-01-system-code-tag-copy-paste,Copy Blocks,OPS / Copy Blocks / A-01,Book,1-way (Book→Website),CEO Ops / Content,v2026-02-17r2,Active
BookSection,3,A-02,Gated Download Page Banner (copy/paste),Copy Blocks,A-02,Gated Download Page Banner (copy/paste),/resources/copy-blocks/a-02-gated-download-page-banner-copy-paste,Copy Blocks,OPS / Copy Blocks / A-02,Book,1-way (Book→Website),CEO Ops / Content,v2026-02-17r2,Active
